Rank,University Name,Score,Admission %,Matriculation %,SAT (75%),SAT (25%),Graduation % (6 year),Retention %,Tuition ($),Budget per Student ($),Average Professor Salary ($),% of Undergrad from out of state,% of Undergrad foreign,% women,% of Undergrad 18-24 years old,Student to Faculty Ratio,Total Enrollment,Fulltime Undergrad Enrollment
13,University of Pennsylvania,78.7,10.4,65.2,2302,2053,96.0,97.0,45890.0,122801.0,197604.0,68.0,11.0,53,93.0,6,24806,10406
14,Dartmouth College,77.2,11.5,51.9,2295,2026,95.0,98.0,46752.0,125754.5,170397.0,88.0,8.0,47,97.0,8,6298,4228
15,United States Air Force Academy,75.0,16.6,80.5,2106,1854,84.0,94.0,0.0,116050.9,94797.0,81.0,1.0,22,98.0,8,3952,3952
16,United States Naval Academy,73.6,7.9,85.2,2085,1770,89.0,97.0,0.0,94505.3,114534.0,93.0,1.0,23,99.0,9,4511,4511
17,Northwestern University,71.5,13.1,46.3,2304,2076,93.0,97.0,45527.0,86284.4,186840.0,63.0,10.0,47,93.0,7,21554,8398
18,Brown University,70.8,8.7,58.7,2302,2000,96.0,98.0,45612.0,73490.0,165051.0,81.0,14.0,51,97.0,9,9181,6255
19,Emory University,70.5,26.8,28.6,2175,1933,89.0,95.0,44008.0,104315.5,154854.0,66.0,17.0,57,95.0,8,14769,7732
20,University of Michigan-Ann Arbor,70.0,32.2,40.5,2196,1940,91.0,97.0,13142.0,62805.1,158859.0,41.0,4.0,48,95.0,12,43625,27395
21,University of California-Los Angeles,69.8,18.6,35.9,2199,1807,91.0,97.0,12697.0,86602.0,177993.0,14.0,13.0,53,76.3,16,41845,29033
22,University of Miami,69.8,38.2,17.2,2135,1859,81.0,93.0,42852.0,111534.4,151821.0,51.0,17.0,51,93.0,12,16674,10535
23,Cornell University,69.3,14.2,52.8,2260,1996,93.0,97.0,45358.0,76510.6,164934.0,59.0,9.0,48,96.0,9,21679,14269
24,United States Military Academy,68.9,9.5,84.6,2075,1759,80.0,94.0,0.0,75174.5,112617.0,92.0,0.0,17,99.0,7,4414,4414
25,Williams College,68.8,19.3,44.8,2304,2032,95.0,98.0,46600.0,81493.3,139005.0,81.0,9.0,51,97.0,6,2126,2034
26,University of Notre Dame,68.8,21.1,53.1,2262,2073,96.0,98.0,44605.0,65218.6,164871.0,87.0,7.0,46,99.0,10,12179,8430
27,University of California-Berkeley,68.1,16.0,46.3,2263,1900,91.0,96.0,12864.0,61355.5,169569.0,16.0,15.0,50,76.3,17,37565,26320
28,New York University,68.0,35.4,32.8,2174,1872,83.0,92.0,44848.0,78640.8,194553.0,56.0,15.0,55,92.0,10,49274,23715
29,Pomona College,67.8,12.2,47.8,2285,2065,93.0,98.0,43580.0,75120.6,147501.0,58.0,19.0,51,97.0,7,1650,1638
30,Rice University,67.7,15.1,35.5,2304,2084,91.0,96.0,38941.0,80934.5,178623.0,40.0,15.0,43,98.0,6,6621,3872
31,Middlebury College,67.6,17.2,41.2,2198,1933,94.0,96.0,45314.0,81486.1,119718.0,82.0,12.0,52,98.0,9,2533,2492
32,Georgetown University,67.6,17.3,46.6,2247,1986,95.0,96.0,44805.0,59287.7,179100.0,90.0,9.0,54,93.0,11,17858,7226
33,Swarthmore College,67.1,17.0,43.2,2288,2003,94.0,95.0,44718.0,73553.8,141012.0,73.0,15.0,51,97.0,8,1542,1534
34,Amherst College,66.9,13.8,40.0,2288,2016,94.0,98.0,46574.0,82653.2,143442.0,77.0,12.0,48,76.3,8,1792,1792
35,University of Southern California,66.6,18.0,33.1,2217,1940,91.0,97.0,46298.0,67761.5,164934.0,36.0,18.0,52,94.0,9,42453,18057
36,Yeshiva University,66.6,81.8,58.1,2004,1648,85.0,95.0,37600.0,114095.6,124830.0,58.0,4.0,52,76.3,7,6348,2724
37,University of North Carolina at Chapel Hill,66.5,28.5,44.5,2131,1856,90.0,97.0,8340.0,66369.3,143901.0,17.0,2.0,57,95.0,13,29135,17570
38,Tufts University,66.3,17.2,41.0,2238,2023,92.0,97.0,46598.0,66022.6,139014.0,70.0,9.0,54,98.0,9,10907,5127
39,University of Wisconsin-Madison,66.2,56.9,43.2,2073,1775,84.0,95.0,10403.0,54190.3,116865.0,35.0,6.0,51,94.0,18,42598,28306
40,University of California-San Diego,66.2,33.3,20.1,2167,1820,86.0,95.0,13271.0,80458.5,152073.0,5.0,19.0,46,76.3,19,30709,24159
41,Carnegie Mellon University,66.2,24.6,30.2,2314,2028,88.0,96.0,47642.0,70124.2,154584.0,68.0,21.0,38,96.0,10,12587,5699
42,Case Western Reserve University,65.4,38.3,15.4,2205,1934,81.0,93.0,41800.0,73513.7,137808.0,64.0,11.0,50,96.0,11,10771,4766
43,University of Washington-Seattle Campus,65.2,55.2,36.4,2052,1695,84.0,94.0,12397.0,62905.5,129465.0,18.0,15.0,52,88.0,18,44784,27764
44,University of Virginia-Main Campus,64.7,29.0,41.2,2193,1880,94.0,97.0,12668.0,47855.1,151911.0,29.0,5.0,54,94.0,15,23732,15622
45,Georgia Institute of Technology-Main Campus,64.5,33.4,32.5,2225,1994,82.0,96.0,10650.0,54652.9,137286.0,37.0,9.0,30,91.0,18,23109,13253
46,Claremont McKenna College,64.2,10.8,50.2,2239,2021,90.0,96.0,45625.0,63123.1,157923.0,48.0,21.0,48,97.0,8,1324,1298
47,Ohio State University-Main Campus,64.2,53.0,36.3,2078,1807,83.0,94.0,10037.0,40084.6,131067.0,23.0,8.0,49,90.0,18,58322,40613
48,University of Florida,64.0,45.6,49.8,2054,1764,88.0,96.0,6263.0,47498.2,131220.0,8.0,4.0,54,95.0,21,49459,29907
49,University of Illinois at Urbana-Champaign,64.0,59.0,32.8,2159,1828,84.0,93.0,14750.0,48169.8,144927.0,12.0,15.0,45,96.0,19,45140,31742
50,University of Minnesota-Twin Cities,63.5,45.4,27.2,2025,1774,78.0,92.0,13555.0,52448.7,131832.0,29.0,6.0,52,83.0,17,51147,28904
51,The University of Texas at Austin,63.5,39.7,47.4,2125,1770,81.0,94.0,9798.0,42834.4,140877.0,7.0,4.0,51,94.0,17,51313,36309
52,Brigham Young University-Provo,63.4,47.0,78.2,2058,1796,79.0,87.0,4850.0,24942.1,110916.0,62.0,3.0,45,86.0,18,30484,24499
53,University of Pittsburgh-Pittsburgh Campus,63.2,53.1,23.6,2053,1776,82.0,93.0,17100.0,58468.4,137808.0,32.0,3.0,52,93.0,14,28617,17694
54,Haverford College,63.0,24.7,39.2,2237,2014,94.0,97.0,45426.0,64850.3,120816.0,78.0,10.0,53,76.3,8,1194,1189
55,Carleton College,62.4,22.8,36.3,2228,1989,93.0,97.0,46167.0,51396.9,125622.0,76.0,10.0,53,98.0,9,2057,2044
56,Vassar College,62.3,23.5,36.3,2210,1981,92.0,95.0,47890.0,62499.5,131202.0,68.0,9.0,56,96.0,8,2421,2380
57,Washington and Lee University,61.9,19.5,41.5,2185,1989,88.0,97.0,44507.0,56040.2,146880.0,83.0,3.0,49,76.3,8,2264,1882
58,University of Connecticut,61.8,50.0,23.0,2023,1739,81.0,93.0,12022.0,45766.6,145611.0,32.0,5.0,50,93.0,16,26541,17677
59,University of Maryland-College Park,61.6,47.9,32.9,2130,1815,85.0,96.0,9162.0,38457.4,144036.0,25.0,3.0,47,76.3,18,37610,25027
60,Northeastern University,61.3,32.2,18.3,2225,2037,82.0,96.0,41686.0,36701.8,164709.0,63.0,21.0,49,76.3,14,19798,13492
61,Wake Forest University,61.2,34.4,33.6,1100,1100,88.0,93.0,44742.0,150070.9,145413.0,68.0,12.0,51,76.3,11,7788,4804
62,Pennsylvania State University-Main Campus,61.1,50.3,32.4,1956,1661,86.0,93.0,16992.0,47984.7,142749.0,33.0,11.0,46,76.3,17,47040,39357
63,Brandeis University,60.9,35.2,24.4,2231,1918,91.0,93.0,45856.0,48363.0,137655.0,56.0,24.0,54,98.0,10,5945,3711
64,Texas A & M University-College Station,60.9,71.0,47.4,1987,1643,79.0,90.0,8506.0,38018.6,129348.0,5.0,1.0,47,97.0,20,61642,42129
65,Colby College,60.8,28.0,33.2,2140,1859,90.0,92.0,45760.0,52475.9,133290.0,75.0,15.0,53,99.0,10,1847,1847
66,Grinnell College,60.6,28.0,25.6,2212,1970,89.0,94.0,43656.0,54654.6,119565.0,74.0,18.0,55,76.3,9,1734,1672
67,Purdue University-Main Campus,60.5,59.3,27.5,2017,1644,73.0,92.0,9992.0,36687.8,126225.0,29.0,17.0,42,95.0,12,39752,28419
68,Colgate University,60.5,26.2,33.5,2168,1928,92.0,95.0,46380.0,51643.7,135675.0,65.0,11.0,54,97.0,9,2888,2863
69,Hamilton College,60.4,26.3,35.1,2200,1979,91.0,96.0,46080.0,58629.2,132228.0,66.0,6.0,52,76.3,9,1904,1894
70,Rutgers University-New Brunswick,60.3,60.5,33.2,2040,1660,81.0,92.0,13499.0,41736.6,137574.0,6.0,10.0,53,91.0,16,48378,32411
71,George Washington University,60.2,43.8,28.9,2079,1813,79.0,93.0,47343.0,41459.6,162387.0,87.0,10.0,57,90.0,12,25613,9830
72,Davidson College,60.2,21.7,41.7,2144,1861,93.0,95.0,42849.0,55173.6,128160.0,73.0,8.0,51,76.3,10,1770,1770
73,College of William and Mary,60.2,33.0,31.4,2201,1912,90.0,95.0,15463.0,34310.6,128655.0,30.0,7.0,56,96.0,12,8437,6214
74,University of California-Davis,60.2,40.4,22.0,2047,1658,83.0,93.0,13895.0,60609.2,135000.0,4.0,12.0,57,76.3,18,34508,26810
75,Reed College,60.1,38.7,22.7,2199,1926,79.0,90.0,46010.0,50087.2,111807.0,82.0,11.0,53,94.0,9,1394,1339
76,Boston University,59.9,34.5,20.9,2116,1812,85.0,93.0,44910.0,45240.9,162810.0,62.0,23.0,58,76.3,13,32112,16619
77,University of Iowa,59.8,80.9,23.9,1891,1579,70.0,86.0,8061.0,41072.4,133425.0,41.0,12.0,52,90.0,16,29970,19546
78,Stony Brook University,59.5,41.3,20.5,2045,1762,69.0,89.0,7995.0,38218.2,132516.0,9.0,16.0,49,88.0,16,24607,15385
79,Bucknell University,59.4,30.7,38.9,2120,1847,89.0,93.0,46902.0,47932.7,118215.0,73.0,5.0,52,97.0,10,3624,3538
80,University of Delaware,59.3,67.8,26.5,1955,1634,79.0,91.0,12112.0,33479.8,143433.0,62.0,2.0,56,93.0,15,22680,17467
81,The University of Tennessee-Knoxville,59.3,74.8,40.7,1934,1637,69.0,87.0,11194.0,48690.6,126162.0,13.0,2.0,51,91.0,17,30386,20337
82,Lehigh University,59.2,34.3,32.9,2116,1856,87.0,96.0,43520.0,42897.6,146997.0,68.0,9.0,45,97.0,10,7119,4984
83,Lafayette College,59.2,29.7,27.9,2099,1820,90.0,93.0,44670.0,49755.0,133830.0,71.0,11.0,47,97.0,10,2503,2446
84,Indiana University-Bloomington,59.2,76.1,27.9,1973,1623,78.0,89.0,10209.0,24531.9,120114.0,34.0,8.0,50,90.0,17,46416,31370
85,Michigan State University,59.1,66.1,36.7,1892,1577,79.0,92.0,12862.0,33633.5,135027.0,13.0,15.0,51,95.0,17,50081,35341
86,Boston College,59.1,33.9,29.1,2191,1947,91.0,96.0,45622.0,37653.7,170775.0,73.0,7.0,55,76.3,15,14317,9526
87,University of Vermont,59.0,73.4,13.0,1940,1628,76.0,87.0,15718.0,44225.8,118539.0,74.0,2.0,56,90.0,15,12856,9898
88,Oberlin College,59.0,32.7,33.7,2151,1880,88.0,94.0,46870.0,49076.1,119628.0,87.0,8.0,55,76.3,9,2978,2920
89,Wheaton College,59.0,69.2,43.7,2115,1802,89.0,93.0,30880.0,33709.8,91161.0,69.0,10.0,53,98.0,12,2914,2368
90,North Carolina State University at Raleigh,58.9,51.6,42.7,2006,1763,75.0,93.0,8206.0,32310.9,120924.0,14.0,3.0,44,90.0,16,33989,21402
91,Clemson University,58.9,51.5,32.5,2036,1752,82.0,92.0,13382.0,29504.2,127089.0,39.0,0.0,46,95.0,16,21857,16572
92,Virginia Polytechnic Institute and State University,58.7,72.6,36.5,2000,1680,83.0,93.0,11455.0,33130.2,121914.0,23.0,6.0,42,97.0,16,31224,23685
93,University of Georgia,58.5,55.7,45.0,2000,1736,85.0,94.0,10262.0,31087.6,112320.0,11.0,2.0,58,96.0,18,35197,25371
94,The University of Alabama,58.3,51.0,39.6,2018,1520,66.0,87.0,9450.0,19371.6,138645.0,62.0,1.0,55,90.0,21,36047,27737
95,Rensselaer Polytechnic Institute,58.3,37.5,19.1,2199,1909,82.0,93.0,46269.0,54491.0,135792.0,65.0,11.0,30,96.0,15,6835,5598
96,University of South Carolina-Columbia,58.2,65.2,32.7,1945,1693,73.0,88.0,10816.0,23289.6,126126.0,49.0,0.0,55,93.0,18,32971,23179
97,Auburn University,58.2,83.5,32.4,1986,1638,71.0,91.0,9852.0,26820.1,110421.0,39.0,1.0,49,95.0,17,25912,18853
98,Tulane University of Louisiana,58.2,28.0,20.4,2115,1900,83.0,92.0,46930.0,47447.9,143433.0,86.0,2.0,56,64.0,9,12603,6214
99,University of Kentucky,58.1,72.2,34.7,1883,1526,61.0,82.0,10110.0,42367.5,113778.0,37.0,3.0,53,91.0,18,29203,20690
100,University of Richmond,58.1,31.8,25.9,2139,1874,84.0,94.0,45320.0,48302.2,150696.0,73.0,9.0,54,76.3,8,4182,3055
101,Macalester College,58.1,36.3,23.0,2160,1890,90.0,94.0,45388.0,44114.8,115731.0,73.0,14.0,61,98.0,10,2073,2045
102,University of Colorado Boulder,57.9,84.2,24.2,1976,1628,70.0,84.0,10347.0,30221.8,128106.0,38.0,6.0,44,92.0,18,32432,24344
103,University of California-Irvine,57.7,37.4,21.8,1967,1583,86.0,92.0,13149.0,46176.0,152946.0,3.0,16.0,52,76.3,19,30051,24141
104,Kenyon College,57.6,25.1,27.1,2114,1858,89.0,94.0,45640.0,50854.6,93375.0,78.0,5.0,55,76.3,10,1662,1650
105,Wellesley College,57.5,30.1,41.8,2205,1955,91.0,94.0,43554.0,72641.0,150525.0,73.0,15.0,97,76.3,7,2323,2177
106,University of Missouri-Columbia,57.4,77.7,39.6,1886,1588,69.0,86.0,9415.0,23826.4,118863.0,37.0,3.0,53,96.0,20,35425,25859
107,Florida State University,57.3,55.4,35.9,1931,1736,79.0,92.0,6507.0,21908.4,118386.0,12.0,2.0,55,93.0,26,41226,29211
108,University of Utah,57.2,81.4,35.3,1891,1482,62.0,89.0,7457.0,51767.0,109107.0,25.0,3.0,45,68.0,17,31515,17137
109,University of Oklahoma-Norman Campus,57.2,81.3,45.3,1959,1590,67.0,85.0,8916.0,24567.6,118242.0,40.0,0.0,49,87.0,18,27261,18006
110,SUNY at Binghamton,57.0,44.1,20.7,2050,1827,81.0,89.0,8144.0,21441.4,115686.0,10.0,11.0,48,95.0,20,16695,12908
111,University of Kansas,56.8,91.4,28.3,1880,1530,60.0,80.0,10107.0,36799.1,122085.0,34.0,4.0,51,89.0,17,27180,17335
112,University of Massachusetts-Amherst,56.8,61.4,20.4,1971,1674,75.0,90.0,13443.0,28161.9,138807.0,23.0,4.0,49,91.0,17,28635,20684
113,Iowa State University,56.8,86.9,37.8,1942,1471,69.0,86.0,7726.0,25093.0,121770.0,37.0,5.0,44,94.0,19,34435,27440
114,Southern Methodist University,56.7,52.4,23.6,2082,1862,77.0,89.0,43800.0,35621.5,150723.0,55.0,7.0,48,95.0,11,11272,6193
115,University of Arkansas,56.6,62.0,38.8,1872,1573,62.0,83.0,7818.0,22908.8,113814.0,47.0,2.0,51,89.0,19,26237,19243
116,University of Nebraska-Lincoln,56.4,69.9,56.1,1884,1530,67.0,84.0,8060.0,29276.0,118251.0,22.0,4.0,48,93.0,21,25006,18660
117,Villanova University,56.3,49.3,21.5,2093,1853,89.0,94.0,44430.0,29302.6,132696.0,83.0,2.0,52,76.3,12,10735,6554
118,Babson College,56.2,26.3,31.0,2055,1783,90.0,94.0,43520.0,44940.5,182421.0,58.0,23.0,43,76.3,14,3049,2107
119,Arizona State University-Tempe,56.2,84.3,40.2,1893,1530,63.0,86.0,10002.0,21387.0,139896.0,32.0,10.0,43,85.0,22,50320,36264
120,Rhode Island School of Design,56.2,32.6,46.8,2093,1697,87.0,95.0,42932.0,39073.5,86787.0,64.0,27.0,66,97.0,10,2449,2014
121,University of Illinois at Chicago,56.1,74.5,26.1,1823,1527,60.0,80.0,13410.0,57987.4,135792.0,4.0,2.0,54,88.0,17,27969,15459
122,Miami University-Oxford,56.1,65.8,21.9,1998,1702,79.0,90.0,13800.0,19098.8,111429.0,37.0,6.0,54,97.0,17,18620,15311
123,Louisiana State University and Agricultural & Mechanical College,56.1,76.6,44.5,1876,1583,67.0,85.0,7873.0,27549.4,116334.0,18.0,1.0,51,90.0,22,31044,23195
124,Howard University,56.1,48.4,22.2,1825,1475,60.0,85.0,22683.0,46772.6,105444.0,96.0,0.0,65,89.0,8,10265,6513
125,University of California-Santa Barbara,56.0,36.3,19.5,2072,1706,81.0,92.0,13746.0,33183.5,152334.0,5.0,7.0,52,76.3,17,23051,19914
126,West Virginia University,55.9,85.8,36.4,1744,1444,57.0,77.0,6456.0,27795.6,114975.0,51.0,5.0,48,90.0,21,29175,20863
127,University at Buffalo,55.9,57.8,24.9,1893,1595,72.0,88.0,8211.0,30219.1,120447.0,3.0,14.0,47,92.0,13,29995,18166
128,University of Mississippi,55.8,81.2,29.1,1808,1466,61.0,85.0,6760.0,31204.7,111276.0,55.0,1.0,56,89.0,18,22503,16665
129,American University,55.5,45.8,25.8,2000,1731,82.0,89.0,40649.0,32088.6,162018.0,93.0,4.0,61,76.3,12,13061,7386
130,California Polytechnic State University-San Luis Obispo,55.3,30.9,34.4,1988,1701,75.0,93.0,8724.0,17339.9,94230.0,16.0,1.0,46,96.0,22,20186,18578
131,University of Tulsa,55.3,40.3,24.9,2118,1750,70.0,88.0,34835.0,36889.2,113490.0,39.0,20.0,43,93.0,11,4682,3362
132,Trinity University,55.2,48.4,24.6,2049,1785,81.0,88.0,34678.0,46142.1,118503.0,24.0,9.0,53,99.0,9,2432,2203
133,Mississippi State University,55.2,71.0,38.9,1884,1472,60.0,80.0,6772.0,26461.3,99063.0,38.0,1.0,49,90.0,19,20138,15146
134,Syracuse University,55.2,53.2,24.3,1940,1629,80.0,92.0,40458.0,31259.7,125370.0,54.0,13.0,54,95.0,16,21492,14532
135,New Mexico Institute of Mining and Technology,55.1,36.4,79.5,1946,1612,45.0,79.0,5714.0,59138.5,84258.0,10.0,5.0,32,81.0,14,2127,1443
136,Oklahoma State University-Main Campus,55.1,74.9,44.2,1869,1520,61.0,81.0,7442.0,23898.0,105516.0,33.0,1.0,48,88.0,20,25962,18201
137,Santa Clara University,55.1,49.3,17.8,2100,1817,85.0,96.0,42156.0,31511.8,149238.0,39.0,4.0,50,97.0,12,9015,5389
138,Colorado School of Mines,55.1,36.5,22.2,2120,1877,76.0,94.0,16485.0,31562.5,133056.0,38.0,4.0,28,91.0,16,5962,4240
139,Berea College,55.0,33.7,75.0,1823,1531,62.0,84.0,23170.0,48327.9,85203.0,46.0,7.0,56,89.0,10,1621,1578
140,North Dakota State University-Main Campus,55.0,82.7,52.2,1778,1470,56.0,80.0,7660.0,23107.4,101124.0,63.0,1.0,46,91.0,19,14747,10865
141,Marquette University,55.0,66.7,13.7,1940,1701,79.0,89.0,34640.0,28500.6,120870.0,67.0,3.0,53,97.0,14,11745,8078
142,Grove City College,55.0,87.5,48.8,1978,1621,83.0,92.0,14880.0,23504.6,89012.8,44.0,1.0,51,97.0,14,2509,2465
143,SUNY at Albany,54.9,55.8,20.9,1770,1518,66.0,81.0,8040.0,44645.3,112563.0,7.0,7.0,51,93.0,18,17273,12191
144,Rhodes College,54.9,60.0,25.0,2064,1811,80.0,88.0,39794.0,30795.8,103158.0,75.0,2.0,58,100.0,11,2054,2016
145,Skidmore College,54.8,37.3,22.4,2021,1702,87.0,95.0,45874.0,45426.3,113256.0,61.0,10.0,60,98.0,8,2646,2609
146,Whitman College,54.8,41.0,26.4,2133,1825,87.0,94.0,43500.0,42208.3,114831.0,62.0,5.0,56,76.3,9,1498,1467
147,University of North Dakota,54.8,86.0,47.7,1770,1468,55.0,80.0,7508.0,26470.7,101988.0,63.0,1.0,47,83.0,19,14906,9079
148,University of Alabama at Birmingham,54.8,85.7,35.7,1825,1470,56.0,83.0,7205.0,56670.6,132795.0,14.0,2.0,60,76.0,18,18698,8472
149,University of Oregon,54.8,74.9,24.8,1838,1504,69.0,87.0,9703.0,25724.0,123471.0,41.0,12.0,52,76.3,19,24096,18673
150,Occidental College,54.8,42.0,21.4,2077,1820,85.0,93.0,46652.0,43361.1,128241.0,47.0,10.0,56,97.0,10,2040,2024
151,University of Central Florida,54.8,49.6,39.3,1902,1644,70.0,88.0,6317.0,12873.5,128709.0,6.0,3.0,55,79.0,31,60767,36477
152,Temple University,54.7,61.7,27.4,1855,1521,69.0,89.0,14096.0,26360.0,127917.0,24.0,2.0,52,87.0,14,37485,24990
153,SUNY College of Environmental Science and Forestry,54.6,51.1,40.6,1927,1640,68.0,84.0,7033.0,38229.4,90477.0,19.0,3.0,46,92.0,16,2200,1673
154,Drexel University,54.5,76.0,8.1,1932,1650,67.0,84.0,37505.0,34486.5,151137.0,54.0,10.0,52,82.0,10,26359,14365
155,Colorado State University-Fort Collins,54.5,80.5,32.5,1831,1533,65.0,85.0,9313.0,24814.8,117018.0,23.0,0.0,51,89.0,16,31354,20456
156,University of Hawaii at Manoa,54.4,78.8,31.1,1761,1450,56.0,79.0,9904.0,46735.2,122382.0,33.0,2.0,56,80.0,13,19507,11741
157,University of Wyoming,54.4,97.7,38.3,1819,1512,54.0,76.0,4404.0,32549.9,112266.0,44.0,2.0,52,76.0,15,12820,8272
158,University of South Florida-Main Campus,54.4,53.2,31.4,1880,1600,67.0,89.0,6410.0,22644.0,114111.0,8.0,7.0,56,79.0,25,41938,23783
159,University of Cincinnati-Main Campus,54.3,75.8,36.5,1895,1585,60.0,86.0,10784.0,25586.4,116091.0,14.0,3.0,54,84.0,18,35313,20682
160,Creighton University,54.1,72.7,16.8,1944,1642,78.0,91.0,34330.0,33544.3,103383.0,74.0,3.0,57,87.0,11,8236,3842
161,University of New Hampshire-Main Campus,54.1,80.0,21.9,1811,1513,76.0,86.0,16496.0,25595.0,123993.0,58.0,1.0,55,95.0,19,15117,12380
162,Bob Jones University,54.0,81.0,72.3,1771,1353,71.0,81.0,13430.0,31255.2,45567.0,66.0,5.0,55,90.0,12,3108,2497
163,University of Louisville,53.9,73.9,36.9,1879,1529,54.0,81.0,9946.0,35379.7,119358.0,17.0,1.0,52,79.0,12,21561,12494
164,Brigham Young University-Hawaii,53.9,34.9,53.6,1802,1509,55.0,61.0,4770.0,26124.9,94743.0,75.0,13.0,58,73.0,15,2787,2429
165,The University of Texas at Dallas,53.8,61.9,42.4,2056,1710,71.0,86.0,10864.0,21436.8,158382.0,5.0,2.0,43,78.0,22,23095,11630
166,Drake University,53.7,69.3,19.4,1996,1697,78.0,89.0,30889.0,24037.1,109197.0,74.0,2.0,59,94.0,12,5062,3177
167,College of the Ozarks,53.5,8.3,90.5,1717,1476,63.0,88.0,18330.0,36280.6,71820.0,19.0,0.0,51,98.0,15,1433,1422
168,Oregon State University,53.5,77.8,33.9,1860,1476,63.0,84.0,8322.0,27067.9,114867.0,24.0,2.0,46,79.0,19,28886,18477
169,Gallaudet University,53.5,65.3,56.2,1413,1110,46.0,67.0,13800.0,74300.6,112320.0,90.0,6.0,61,73.0,6,1488,951
170,Elon University,53.5,53.9,26.6,1963,1704,81.0,91.0,30149.0,24228.3,109674.0,81.0,1.0,59,76.3,12,6483,5638
171,University of Dayton,53.3,59.0,21.7,1930,1635,76.0,91.0,35800.0,27640.2,109881.0,47.0,8.0,48,96.0,15,11343,7898
172,University of Nevada-Reno,53.2,83.9,45.7,1781,1452,55.0,82.0,6610.0,26879.5,121932.0,31.0,1.0,53,84.0,22,19934,13999
173,Brigham Young University-Idaho,53.2,99.6,50.4,1705,1396,56.0,69.0,3850.0,5817.3,89012.8,79.0,4.0,58,76.3,25,36624,15609
174,Emerson College,53.2,49.2,20.0,1986,1721,80.0,89.0,35730.0,24949.2,119475.0,76.0,7.0,64,97.0,15,4545,3707
175,University of Puerto Rico-Rio Piedras,53.2,28.2,86.3,1978,1585,47.0,90.0,2014.0,20083.5,67797.0,0.0,0.0,62,87.0,16,15659,11015
176,University of Denver,53.2,76.5,13.6,1986,1696,76.0,86.0,40707.0,28087.5,130752.0,60.0,6.0,56,94.0,11,11809,5304
177,Bryn Mawr College,53.2,40.5,32.1,2133,1806,82.0,91.0,43900.0,59333.5,130383.0,62.0,28.0,95,76.3,8,1709,1291
178,University of New Mexico-Main Campus,53.2,45.4,54.9,1739,1417,48.0,79.0,6846.0,39480.2,109224.0,12.0,1.0,55,76.3,19,27844,16446
179,Saint Louis University,53.1,61.1,18.9,1996,1698,72.0,88.0,36726.0,26666.2,111933.0,66.0,6.0,59,76.3,12,17052,7136
180,University of Puget Sound,52.8,79.3,15.0,1997,1683,76.0,87.0,41868.0,31372.3,106254.0,81.0,1.0,59,96.0,11,2826,2525
181,University of Rhode Island,52.7,76.8,19.6,1761,1471,59.0,82.0,12450.0,23463.7,108243.0,55.0,1.0,55,92.0,17,16571,12139
182,The College of Wooster,52.7,59.1,16.8,1995,1687,76.0,89.0,41680.0,33573.7,95715.0,55.0,12.0,55,98.0,11,2049,2024
183,University of Maryland-Baltimore County,52.6,59.6,26.7,1983,1675,61.0,89.0,10068.0,22457.7,118548.0,7.0,7.0,46,81.0,19,13979,9653
184,Pepperdine University,52.5,35.5,20.8,2005,1698,84.0,92.0,44902.0,35815.8,135126.0,47.0,7.0,59,91.0,12,7417,3129
